symbol,horizon,rows,hit_rate_%,mae_%,rmse_%,mean_pred_%,mean_real_%,pearson_r,wilson_low,wilson_high,stability_qtr_std,start_date,end_date
JISLDVREQS,3d,330,62.11180124223603,3.510696327919244,4.81107845779963,0.6401788361180288,0.1824127935028314,0.2993139709849821,0.5669972458270977,0.6723828701556375,2.3365788482909506,2021-12-27,2025-12-17
JISLJALEQS,3d,330,65.13761467889908,3.4596340659228915,4.59698430389899,0.4252019321828225,0.14973028478513642,0.48054779708258466,0.5982383480144307,0.7009985073266147,2.32346735471627,2021-12-27,2025-12-17
JKCEMENT,3d,330,58.78787878787879,2.3695068131543393,3.1570371946895595,0.3101211022847152,0.19518314624675798,0.22321714775834145,0.5340568523224737,0.6396782364142207,0.849926044220696,2021-12-27,2025-12-17
JKIL,3d,330,59.57446808510638,3.0109866016794973,4.147874426625831,0.4646917838548921,0.47874438250584855,0.293340774971998,0.5419056254821377,0.6473735992301577,0.9653153526760005,2021-12-27,2025-12-17
JKIPL,3d,18,72.22222222222223,2.9690367262146795,3.5411575220630276,-0.14657239810719683,-1.2560543120047039,0.6805676654790123,0.49126922453805477,0.8750043085364452,0.0,2025-10-03,2025-12-17
JKLAKSHMI,3d,330,61.39817629179331,2.640629116477304,3.621171164219033,0.14305541311301972,0.17143955991272217,0.36361468133194286,0.5603475877706539,0.6649848226011266,1.1888902713347054,2021-12-27,2025-12-17
JKPAPER,3d,330,58.66261398176292,3.056880963839793,4.1722715185557,0.2571292653283963,0.2850222452275214,0.3829763933268593,0.5327127506626838,0.6385398812198694,1.2942756689153665,2021-12-27,2025-12-17
JKTYRE,3d,330,64.74164133738601,3.078367893026326,4.070387741671948,0.4548768943148916,0.4993468288665658,0.39012403410534147,0.5943580776773439,0.6970718397368253,1.3597967105647828,2021-12-27,2025-12-17
JLHL,3d,187,56.149732620320854,2.298872447038362,3.0427822027786946,0.6330205789367329,0.1825430288225693,0.27542324608832386,0.4898474038691104,0.630671392871223,0.30486736994700714,2023-09-18,2025-12-17
JMA,3d,330,61.702127659574465,2.7093259742709925,4.0337934120511845,0.37069182212469853,0.13366969484543126,0.3207203949048877,0.5634286300859702,0.667912644562391,0.74503216170845,2021-12-27,2025-12-17
JMFINANCIL,3d,330,65.03067484662577,3.1774093865113104,4.14817039811242,0.5122727227061383,0.31793241954121654,0.52666728827281,0.5970620851321596,0.7000502257467592,1.130131302127505,2021-12-27,2025-12-17
JNKINDIA,3d,137,64.23357664233576,3.848559046852772,5.944874163768346,0.2972748283894944,-0.6248953329099217,0.3311610705932181,0.5591976058025304,0.7177092171815879,1.4043421410918147,2024-04-30,2025-12-18
